File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,ThrowException(const char *errorMessage),2,2,2,0,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,ThrowUserErrorException(),2,2,2,0,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,CArchiveCommand::IsFromExtractGroup() const,10,10,4,3,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,CArchiveCommand::GetPathMode() const,9,9,4,3,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,CArchiveCommand::IsFromUpdateGroup() const,4,4,2,1,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,GetRecursedTypeFromIndex(int index),10,10,5,4,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,"ParseArchiveCommand(const UString &commandString, CArchiveCommand &command)",10,10,8,3,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,"AddNameToCensor(NWildcard::CCensor &wildcardCensor, const UString &name, bool include, NRecursedType::EEnum type)",13,12,8,3,1,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,"AddToCensorFromListFile(NWildcard::CCensor &wildcardCensor, LPCWSTR fileName, bool include, NRecursedType::EEnum type, UINT codePage)",8,8,5,3,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,"AddToCensorFromNonSwitchesStrings( int startIndex, NWildcard::CCensor &wildcardCensor, const UStringVector &nonSwitchStrings, NRecursedType::EEnum type, bool thereAreSwitchIncludes, UINT codePage)",13,13,7,4,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,"ParseMapWithPaths(NWildcard::CCensor &wildcardCensor, const UString &switchParam, bool include, NRecursedType::EEnum commonRecursedType)",57,53,35,9,4,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,"AddSwitchWildCardsToCensor(NWildcard::CCensor &wildcardCensor, const UStringVector &strings, bool include, NRecursedType::EEnum commonRecursedType, UINT codePage)",32,32,18,6,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,"ConvertToLongName(const UString &prefix, UString &name)",6,6,4,2,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,"ConvertToLongNames(const UString &prefix, CObjectVector<NWildcard::CItem> &items)",8,8,5,2,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,"ConvertToLongNames(const UString &prefix, NWildcard::CCensorNode &node)",28,27,17,5,0,0,1,5
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,ConvertToLongNames(NWildcard::CCensor &censor),6,6,4,1,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,GetUpdatePairActionType(int i),9,9,7,1,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,"ParseUpdateCommandString2(const UString &command, NUpdateArchive::CActionSet &actionSet, UString &postString)",23,23,16,10,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,"ParseUpdateCommandString(CUpdateOptions &options, const UStringVector &updatePostStrings, const NUpdateArchive::CActionSet &defaultActionSet)",38,37,21,8,1,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,"ParseComplexSize(const UString &src, UInt64 &result)",37,36,25,13,1,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,"SetAddCommandOptions( NCommandType::EEnum commandType, const CParser &parser, CUpdateOptions &options)",46,43,26,10,3,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,"SetMethodOptions(const CParser &parser, CObjectVector<CProperty> &properties)",18,18,11,3,0,0,0,0
F:\papter datasets\Development\stats\7zip\console\ArchiveCommandLine.cpp,CArchiveCommandLineParser::CArchiveCommandLineParser(),1,1,1,0,0,0,0,0
