File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\Development\stats\nmap\nping\ArgParser.cc,ArgParser::ArgParser(),2,1,1,0,1,0,0,0
F:\papter datasets\Development\stats\nmap\nping\ArgParser.cc,ArgParser::~ArgParser(),2,1,1,0,1,0,0,0
F:\papter datasets\Development\stats\nmap\nping\ArgParser.cc,"ArgParser::parseArguments(int argc, char *argv[])",1030,833,624,150,69,36,128,975
F:\papter datasets\Development\stats\nmap\nping\ArgParser.cc,ArgParser::printVersion(void),3,3,3,0,0,0,0,0
F:\papter datasets\Development\stats\nmap\nping\ArgParser.cc,ArgParser::printUsage(void),122,120,2,0,2,0,0,0
F:\papter datasets\Development\stats\nmap\nping\ArgParser.cc,"ArgParser::parseAdvertEntry(char *str, struct in_addr *addr, u32 *pref)",45,33,25,10,8,0,4,38
F:\papter datasets\Development\stats\nmap\nping\ArgParser.cc,"ArgParser::atoICMPType(char *opt, u8 *type)",90,70,20,5,2,1,18,83
F:\papter datasets\Development\stats\nmap\nping\ArgParser.cc,"ArgParser::atoICMPCode(char *opt, u8 *code)",198,169,37,5,8,1,21,123
F:\papter datasets\Development\stats\nmap\nping\ArgParser.cc,"ArgParser::atoARPOpCode(char *opt, u16 *code)",55,45,14,5,4,3,6,17
F:\papter datasets\Development\stats\nmap\nping\ArgParser.cc,"ArgParser::atoEtherType(char *opt, u16 *type)",75,66,29,5,3,2,6,16
F:\papter datasets\Development\stats\nmap\nping\ArgParser.cc,"ArgParser::parseICMPTimestamp(char *optarg, u32 *dst)",43,39,25,9,4,0,0,0
F:\papter datasets\Development\stats\nmap\nping\common_modified.cc,TargetGroup::TargetGroup(),2,2,2,0,0,0,0,0
F:\papter datasets\Development\stats\nmap\nping\common_modified.cc,TargetGroup::Initialize(),6,6,6,0,0,0,0,0
F:\papter datasets\Development\stats\nmap\nping\common_modified.cc,TargetGroup::rewind(),34,25,15,6,2,0,7,74
F:\papter datasets\Development\stats\nmap\nping\common_modified.cc,TargetGroup::skip_range(_octet_nums octet),49,36,25,12,7,4,6,70
