0,0x47dbc0
1,0x47dbac
3,0x46524c
4,0x465244,0x465244,0x465258,0x465258
5,0x46540c,0x46540c
6,0x465258,0x465258,0x465258,0x465258,0x46525c,0x46525c
7,0x465250,0x465250,0x4653e8,0x4653e8,0x4653f8,0x4653f8
8,0x465250,0x465250,0x47d0c8
9,0x465258,0x465258,0x465258,0x46525c,0x46525c
10,0x46525c,0x46525c,0x46525c,0x46525c
11,0x46521c,0x46521c,0x4653f0,0x4653f0,0x4653f0,0x4653f0,0x465408,0x465408,0x465410,0x465410,0x465414,0x465414,0x474d40,0x474d44
12,0x465230,0x465230,0x465244,0x465244,0x465244,0x465244,0x46524c,0x46524c,0x4653e8,0x4653e8,0x4653f4,0x4653f4,0x4653fc,0x4653fc,0x465400,0x465400,0x465408,0x465408,0x474d40,0x474d48,0x474d50,0x47d0c8
13,0x46506c,0x46506c,0x46506c,0x46506c,0x465074,0x465074,0x465074,0x465074,0x465078,0x465078,0x465078,0x465078,0x465078,0x4650c0,0x4650c0,0x465244,0x465244,0x465244,0x465244,0x465248,0x465248,0x465248,0x465248,0x474d54,0x474d54,0x474d54,0x474d60,0x474d6c,0x474d7c,0x474d84,0x47d0c8,0x51b4e8,0x51b4e8
14,0x4653ec,0x4653ec,0x51b4dc,0x51b4dc
15,0x4653ec,0x4653ec,0x51b47c,0x51b47c
16,0x51b478,0x51b478
17,0x465214,0x465214,0x465228,0x465228,0x465228,0x465228,0x46522c,0x46522c,0x46527c,0x46527c,0x465290,0x465290,0x474d8c
18,0x465228,0x465228,0x465228,0x465228,0x46522c,0x46522c,0x46527c,0x46527c,0x465290,0x465290,0x474d8c
19,0x465218,0x465218,0x465218,0x465218,0x465234,0x465234,0x46529c,0x46529c,0x474d90,0x474dac,0x474dc4,0x474ddc,0x474df4,0x474e20,0x474e40,0x474e5c,0x474e84,0x474ea4,0x474ebc,0x474ed0,0x47d0c8
20,0x465234,0x465234,0x465234,0x465234,0x465234,0x465234,0x4653ec,0x4653ec,0x474ea4,0x474ea4,0x474ea4,0x474ea4,0x474ea4,0x474f1c,0x474f30,0x474f38,0x474f44,0x474f48,0x474fa0,0x47d0c8,0x51b478,0x51b478,0x51b4dc,0x51b4dc
24,0x465234,0x465234,0x474ea4,0x47504c,0x51b4f0,0x51b4f0,0x51b4f0,0x51b4f0,0x51b4f0,0x51b4f0,0x51b4f0,0x51b4f8,0x51b4f8,0x51b4f8,0x51b4f8,0x51b4f8,0x51b4f8,0x51b4fc,0x51b4fc
31,0x465400,0x465400,0x465404,0x465404
37,0x47507c,0x47508c
38,0x4750bc,0x4750cc
39,0x465410,0x465410,0x47d0c8
40,0x465414,0x465414,0x47d0c8
41,0x4653d4,0x4653d4
42,0x4653d4,0x4653d4
43,0x4653d4,0x4653d4
49,0x4751a8,0x4751a8,0x4751b8,0x4751dc,0x51b490,0x51b490,0x51b490,0x51b490,0x51b498,0x51b498,0x51b498,0x51b498
50,0x51b490,0x51b490,0x51b498
