File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\benchmark\pdftohtml-0.40a\fofi\FoFiBase.cc,"FoFiBase::FoFiBase(char *fileA, int lenA, GBool freeFileDataA)",4,4,4,0,0,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiBase.cc,FoFiBase::~FoFiBase(),4,4,3,1,0,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiBase.cc,"FoFiBase::readFile(char *fileName, int *fileLen)",20,19,17,5,1,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiBase.cc,"FoFiBase::getS8(int pos, GBool *ok)",12,11,9,4,1,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiBase.cc,"FoFiBase::getU8(int pos, GBool *ok)",6,6,5,3,0,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiBase.cc,"FoFiBase::getS16BE(int pos, GBool *ok)",13,12,10,4,1,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiBase.cc,"FoFiBase::getU16BE(int pos, GBool *ok)",10,9,8,3,1,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiBase.cc,"FoFiBase::getS32BE(int pos, GBool *ok)",15,14,12,4,1,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiBase.cc,"FoFiBase::getU32BE(int pos, GBool *ok)",12,11,10,3,1,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiBase.cc,"FoFiBase::getUVarBE(int pos, int size, GBool *ok)",13,12,10,4,1,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiBase.cc,"FoFiBase::checkRegion(int pos, int size)",4,4,2,1,0,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiTrueType.cc,"cmpTrueTypeLocaOffset(const void *p1, const void *p2)",8,7,6,3,1,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiTrueType.cc,"cmpTrueTypeLocaIdx(const void *p1, const void *p2)",5,4,4,1,1,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiTrueType.cc,"cmpTrueTypeTableTag(const void *p1, const void *p2)",5,4,4,1,1,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiTrueType.cc,"FoFiTrueType::make(char *fileA, int lenA)",9,8,7,3,1,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiTrueType.cc,FoFiTrueType::load(char *fileName),14,13,11,5,1,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiTrueType.cc,"FoFiTrueType::FoFiTrueType(char *fileA, int lenA, GBool freeFileDataA)",9,8,8,0,1,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiTrueType.cc,FoFiTrueType::~FoFiTrueType(),6,6,5,1,0,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiTrueType.cc,FoFiTrueType::getNumCmaps(),2,2,2,1,0,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiTrueType.cc,FoFiTrueType::getCmapPlatform(int i),2,2,2,1,0,0,0,0,
F:\benchmark\pdftohtml-0.40a\fofi\FoFiTrueType.cc,FoFiTrueType::getCmapEncoding(int i),2,2,2,1,0,0,0,0,
