File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\Development\stats\nmap\ncat\base64.c,"b64enc_internal(const unsigned char *data, int len, char *dest)",38,26,23,4,5,0,7,48
F:\papter datasets\Development\stats\nmap\ncat\base64.c,"b64enc(const unsigned char *data, int len)",12,6,6,1,4,0,2,16
F:\papter datasets\Development\stats\nmap\ncat\http.c,"socket_buffer_init(struct socket_buffer *buf, int sd)",7,7,5,0,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"socket_buffer_read(struct socket_buffer *buf, char *out, size_t size)",21,18,15,5,2,0,1,6
F:\papter datasets\Development\stats\nmap\ncat\http.c,"socket_buffer_readline(struct socket_buffer *buf, size_t *n, size_t maxlen)",47,37,32,7,8,0,2,12
F:\papter datasets\Development\stats\nmap\ncat\http.c,"socket_buffer_readcount(struct socket_buffer *buf, char *out, size_t size)",29,26,22,6,2,0,1,6
F:\papter datasets\Development\stats\nmap\ncat\http.c,"socket_buffer_remainder(struct socket_buffer *buf, size_t *len)",5,4,3,2,1,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,uri_init(struct uri *uri),5,5,5,0,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,uri_free(struct uri *uri),4,4,4,0,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,hex_digit_value(char digit),11,9,7,5,2,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"str_cmp_i(const char *a, const char *b)",18,16,11,7,2,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"str_equal_i(const char *a, const char *b)",2,2,2,1,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,lowercase(char *s),7,5,4,2,2,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,percent_decode(char *s),32,25,20,8,5,0,2,20
F:\papter datasets\Development\stats\nmap\ncat\http.c,is_alpha_char(int c),2,2,2,1,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,is_digit_char(int c),2,2,2,1,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,scheme_default_port(const char *scheme),5,4,3,3,1,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"uri_parse(struct uri *uri, const char *uri_s)",50,34,26,9,8,0,8,63
F:\papter datasets\Development\stats\nmap\ncat\http.c,"uri_parse_authority(struct uri *uri, const char *authority)",49,38,30,14,6,0,5,37
F:\papter datasets\Development\stats\nmap\ncat\http.c,http_header_node_free(struct http_header *node),4,4,4,0,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,http_header_free(struct http_header *header),7,6,5,1,1,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,is_space_char(int c),2,2,2,1,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,is_ctl_char(int c),2,2,2,1,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,is_sep_char(int c),2,2,2,1,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,is_token_char(char c),2,2,2,1,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,is_crlf(const char *s),2,2,2,1,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,skip_crlf(const char *s),8,7,5,4,1,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"field_name_equal(const char *a, const char *b)",2,2,2,1,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_header_get(const struct http_header *header, const char *name)",24,15,12,4,2,0,7,72
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_header_next(const struct http_header *header, const struct http_header *p, const char *name)",12,10,6,5,2,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_header_get_first(const struct http_header *header, const char *name)",8,6,5,3,2,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_header_set(struct http_header *header, const char *name, const char *value)",16,11,10,2,4,0,1,9
F:\papter datasets\Development\stats\nmap\ncat\http.c,"read_token(const char *s, char **token)",14,11,8,5,3,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"read_quoted_string(const char *s, char **quoted_string)",39,33,26,11,2,0,4,36
F:\papter datasets\Development\stats\nmap\ncat\http.c,"read_token_or_quoted_string(const char *s, char **token)",7,7,4,4,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"read_token_list(const char *s, char **tokens[], size_t *n)",26,20,16,7,6,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_header_remove(struct http_header *header, const char *name)",15,13,11,3,2,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,http_header_remove_hop_by_hop(struct http_header **header),48,43,28,10,5,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_header_to_string(const struct http_header *header, size_t *n)",14,10,8,3,4,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,http_request_init(struct http_request *request),8,8,8,0,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,http_request_free(struct http_request *request),4,4,4,0,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_request_to_string(const struct http_request *request, size_t *n)",35,24,18,5,6,0,5,35
F:\papter datasets\Development\stats\nmap\ncat\http.c,http_response_init(struct http_response *response),8,8,8,0,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,http_response_free(struct http_response *response),3,3,3,0,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_response_to_string(const struct http_response *response, size_t *n)",27,20,15,5,5,0,2,10
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_read_header(struct socket_buffer *buf, char **result)",38,30,26,7,6,0,2,10
F:\papter datasets\Development\stats\nmap\ncat\http.c,skip_lws(const char *s),14,12,7,5,2,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_parse_header(struct http_header **result, const char *header)",53,43,36,11,6,0,4,32
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_header_get_content_length(const struct http_header *header, int *content_length_set, unsigned long *content_length)",22,18,16,4,4,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_request_parse_header(struct http_request *request, const char *header)",11,9,7,5,2,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_response_parse_header(struct http_response *response, const char *header)",11,9,7,5,2,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_read_request_line(struct socket_buffer *buf, char **line)",20,14,11,5,3,0,3,24
F:\papter datasets\Development\stats\nmap\ncat\http.c,"parse_http_version(const char *s, enum http_version *version)",35,26,20,10,7,0,2,6
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_parse_request_line(const char *line, struct http_request *request)",63,45,33,13,8,0,10,69
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_read_status_line(struct socket_buffer *buf, char **line)",16,10,7,5,2,0,4,41
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_parse_status_line(const char *line, struct http_response *response)",31,22,16,10,5,0,4,17
F:\papter datasets\Development\stats\nmap\ncat\http.c,http_parse_status_line_code(const char *line),10,8,7,3,2,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_read_challenge(const char *s, struct http_challenge *challenge)",126,106,75,31,9,0,11,114
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_read_credentials(const char *s, struct http_credentials *credentials)",117,103,73,30,7,0,7,38
F:\papter datasets\Development\stats\nmap\ncat\http.c,"auth_scheme_is_better(enum http_auth_scheme a, enum http_auth_scheme b)",16,15,7,11,1,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_header_get_proxy_challenge(const struct http_header *header, struct http_challenge *challenge)",28,23,19,6,5,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,"http_header_get_proxy_credentials(const struct http_header *header, struct http_credentials *credentials)",28,23,19,6,5,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,http_challenge_init(struct http_challenge *challenge),7,7,7,0,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,http_challenge_free(struct http_challenge *challenge),6,6,5,1,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,http_credentials_init_basic(struct http_credentials *credentials),3,3,3,0,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,http_credentials_init_digest(struct http_credentials *credentials),11,11,11,0,0,0,0,0
F:\papter datasets\Development\stats\nmap\ncat\http.c,http_credentials_free(struct http_credentials *credentials),12,12,11,1,0,0,0,0
