138,0
138,3
6,4
7,5
138,7
65,8
65,9
65,10
112,11
30,14
112,15
30,17
30,19
49,19
49,20
49,21
49,22
49,23
49,24
49,25
49,26
49,27
49,28
49,29
1,30
1,31
132,31
133,31
34,33
35,33
62,34
64,34
69,35
70,35
72,35
63,36
64,36
70,36
1,37
49,38
73,39
77,40
1,42
57,42
77,42
43,43
78,43
79,43
49,45
49,46
49,47
1,48
1,49
1,50
76,51
80,51
64,52
70,52
72,52
64,53
70,53
72,53
72,54
64,55
70,55
72,55
76,57
1,58
79,59
65,61
66,61
65,64
66,64
79,65
71,66
70,68
71,68
71,70
79,71
77,72
76,73
76,74
76,75
77,76
79,77
1,79
1,80
89,88
90,88
91,88
105,88
92,89
91,90
112,90
106,91
92,92
110,92
106,93
110,93
1,94
111,97
112,97
99,98
100,98
101,98
103,102
112,103
109,104
108,105
109,106
109,107
111,108
112,108
111,109
112,109
111,110
112,111
1,112
135,134
136,134
49,136
55,137
