File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\benchmark\gperf-3.0.4\lib\getline.cc,"getstr(char **lineptr, size_t *n, FILE *stream, char terminator, size_t offset)",65,47,31,14,12,2,6,64,
F:\benchmark\gperf-3.0.4\lib\getline.cc,"get_line(char **lineptr, size_t *n, FILE *stream)",2,2,2,1,0,0,0,0,
F:\benchmark\gperf-3.0.4\lib\getline.cc,"get_delim(char **lineptr, size_t *n, int delimiter, FILE *stream)",2,2,2,1,0,0,0,0,
F:\benchmark\gperf-3.0.4\lib\hash.cc,"hashpjw(const unsigned char *x, unsigned int len)",11,10,7,3,1,0,0,0,
F:\benchmark\gperf-3.0.4\src\bool-array.cc,Bool_Array::~Bool_Array(),7,6,3,1,0,0,1,5,
F:\benchmark\gperf-3.0.4\src\hash-table.cc,"Hash_Table::Hash_Table(unsigned int size, bool ignore_length)",37,32,22,5,2,0,3,21,
F:\benchmark\gperf-3.0.4\src\hash-table.cc,Hash_Table::~Hash_Table(),2,2,2,0,0,0,0,0,
F:\benchmark\gperf-3.0.4\src\hash-table.cc,Hash_Table::dump() const,31,27,12,7,4,0,0,0,
F:\benchmark\gperf-3.0.4\src\hash-table.cc,"Hash_Table::equal(KeywordExt *item1, KeywordExt *item2) const",7,7,2,4,0,0,0,0,
F:\benchmark\gperf-3.0.4\src\hash-table.cc,Hash_Table::insert(KeywordExt *item),24,18,10,4,3,0,3,30,
F:\benchmark\gperf-3.0.4\src\input.cc,"Input::Input(FILE *stream, Keyword_Factory *keyword_factory)",1,1,1,0,0,0,0,0,
F:\benchmark\gperf-3.0.4\src\input.cc,pretty_input_file_name(),5,5,3,3,0,0,0,0,
F:\benchmark\gperf-3.0.4\src\input.cc,"is_declaration(const char *line, const char *line_end, unsigned int lineno, const char *decl)",34,24,12,13,5,0,5,18,
F:\benchmark\gperf-3.0.4\src\input.cc,"is_declaration_with_arg(const char *line, const char *line_end, unsigned int lineno, const char *decl, char **argp)",51,37,21,15,7,0,7,28,
F:\benchmark\gperf-3.0.4\src\input.cc,"is_define_declaration(const char *line, const char *line_end, unsigned int lineno, const char *decl, char **argp)",72,54,29,24,9,0,9,34,
F:\benchmark\gperf-3.0.4\src\keyword-list.cc,Keyword_List::Keyword_List(Keyword *car),1,1,1,0,0,0,0,0,
F:\benchmark\gperf-3.0.4\src\keyword-list.cc,KeywordExt_List::KeywordExt_List(KeywordExt *car),1,1,1,0,0,0,0,0,
F:\benchmark\gperf-3.0.4\src\keyword-list.cc,copy_list(Keyword_List *list),12,12,10,2,0,0,0,0,
F:\benchmark\gperf-3.0.4\src\keyword-list.cc,copy_list(KeywordExt_List *list),2,2,2,1,0,0,0,0,
F:\benchmark\gperf-3.0.4\src\keyword-list.cc,delete_list(Keyword_List *list),7,7,5,1,0,0,0,0,
F:\benchmark\gperf-3.0.4\src\keyword-list.cc,"merge(Keyword_List *list1, Keyword_List *list2, Keyword_Comparison less)",31,29,19,7,0,0,2,16,
F:\benchmark\gperf-3.0.4\src\keyword-list.cc,"mergesort_list(Keyword_List *list, Keyword_Comparison less)",30,22,13,8,2,0,6,52,
F:\benchmark\gperf-3.0.4\src\keyword-list.cc,"mergesort_list(KeywordExt_List *list, bool (*less) (KeywordExt *keyword1, KeywordExt *keyword2))",5,5,2,1,0,0,0,0,
F:\benchmark\gperf-3.0.4\src\keyword.cc,"sort_char_set(unsigned int *base, int len)",12,9,6,2,2,0,1,6,
F:\benchmark\gperf-3.0.4\src\keyword.cc,"KeywordExt::init_selchars_low(const Positions& positions, const unsigned int *alpha_unify, const unsigned int *alpha_inc)",35,25,17,5,4,0,6,44,
F:\benchmark\gperf-3.0.4\src\keyword.cc,"KeywordExt::init_selchars_tuple(const Positions& positions, const unsigned int *alpha_unify)",2,2,2,0,0,0,0,0,
F:\benchmark\gperf-3.0.4\src\keyword.cc,"KeywordExt::init_selchars_multiset(const Positions& positions, const unsigned int *alpha_unify, const unsigned int *alpha_inc)",6,4,3,0,1,0,1,6,
F:\benchmark\gperf-3.0.4\src\keyword.cc,KeywordExt::delete_selchars(),2,2,2,0,0,0,0,0,
F:\benchmark\gperf-3.0.4\src\keyword.cc,Keyword_Factory::Keyword_Factory(),1,1,1,0,0,0,0,0,
F:\benchmark\gperf-3.0.4\src\keyword.cc,Keyword_Factory::~Keyword_Factory(),1,1,1,0,0,0,0,0,
F:\benchmark\gperf-3.0.4\src\main.cc,"KeywordExt_Factory::create_keyword(const char *allchars, int allchars_length, const char *rest)",2,2,2,1,0,0,0,0,
F:\benchmark\gperf-3.0.4\src\main.cc,"main(int argc, char *argv[])",104,78,37,12,11,0,15,109,
F:\benchmark\gperf-3.0.4\src\options.cc,Options::short_usage(FILE * stream),3,3,2,0,0,0,0,0,
