File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\benchmark\tinyxml_2_6_2\tinyxml\tinystr.cpp,TiXmlString::reserve(size_type cap),8,8,6,1,0,0,0,0,
F:\benchmark\tinyxml_2_6_2\tinyxml\tinystr.cpp,"TiXmlString::assign(const char* str, size_type len)",15,15,11,2,0,0,0,0,
F:\benchmark\tinyxml_2_6_2\tinyxml\tinystr.cpp,"TiXmlString::append(const char* str, size_type len)",9,9,7,2,0,0,0,0,
F:\benchmark\tinyxml_2_6_2\tinyxml\tinystr.cpp,"operator +(const TiXmlString & a, const TiXmlString & b)",6,6,6,1,0,0,0,0,
F:\benchmark\tinyxml_2_6_2\tinyxml\tinystr.cpp,"operator +(const TiXmlString & a, const char* b)",7,7,7,1,0,0,0,0,
F:\benchmark\tinyxml_2_6_2\tinyxml\tinystr.cpp,"operator +(const char* a, const TiXmlString & b)",7,7,7,1,0,0,0,0,
F:\benchmark\tinyxml_2_6_2\tinyxml\tinyxml.cpp,"TiXmlFOpen( const char* filename, const char* mode )",10,10,6,4,0,0,0,0,
F:\benchmark\tinyxml_2_6_2\tinyxml\tinyxml.cpp,"TiXmlBase::EncodeString( const TIXML_STRING& str, TIXML_STRING* outString )",80,60,33,8,4,1,16,99,
F:\benchmark\tinyxml_2_6_2\tinyxml\tinyxml.cpp,TiXmlNode::TiXmlNode( NodeType _type ),7,7,7,0,0,0,0,0,
F:\benchmark\tinyxml_2_6_2\tinyxml\tinyxml.cpp,TiXmlNode::~TiXmlNode(),10,9,7,1,1,0,0,0,
F:\benchmark\tinyxml_2_6_2\tinyxml\tinyxml.cpp,TiXmlNode::CopyTo( TiXmlNode* target ) const,4,4,4,0,0,0,0,0,
F:\benchmark\tinyxml_2_6_2\tinyxml\tinyxml.cpp,TiXmlNode::Clear(),13,11,9,1,2,0,0,0,
F:\benchmark\tinyxml_2_6_2\tinyxml\tinyxml.cpp,TiXmlNode::LinkEndChild( TiXmlNode* node ),24,19,14,5,5,1,0,5,
F:\benchmark\tinyxml_2_6_2\tinyxml\tinyxml.cpp,TiXmlNode::InsertEndChild( const TiXmlNode& addThis ),12,11,7,6,1,0,0,0,
F:\benchmark\tinyxml_2_6_2\tinyxml\tinyxml.cpp,"TiXmlNode::InsertBeforeChild( TiXmlNode* beforeThis, const TiXmlNode& addThis )",29,27,18,9,2,0,0,0,
F:\benchmark\tinyxml_2_6_2\tinyxml\tinyxml.cpp,"TiXmlNode::InsertAfterChild( TiXmlNode* afterThis, const TiXmlNode& addThis )",29,27,18,9,2,0,0,0,
