File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAware.cpp,CAmbientLightAwareApp::CAmbientLightAwareApp(),5,2,2,0,1,0,2,10,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAware.cpp,CAmbientLightAwareApp::InitInstance(),26,13,13,1,3,3,10,89,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareDlg.cpp,CAmbientLightAwareDlg::CAmbientLightAwareDlg(CWnd* pParent ),4,4,4,0,0,0,0,0,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareDlg.cpp,CAmbientLightAwareDlg::~CAmbientLightAwareDlg(),1,1,1,0,0,0,0,0,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareDlg.cpp,CAmbientLightAwareDlg::CleanUp(),12,9,7,2,3,0,0,0,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareDlg.cpp,CAmbientLightAwareDlg::DoDataExchange(CDataExchange* pDX),2,2,2,0,0,0,0,0,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareDlg.cpp,CAmbientLightAwareDlg::OnInitDialog(),14,6,6,1,3,3,5,47,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareDlg.cpp,CAmbientLightAwareDlg::OnPaint(),36,27,19,3,4,1,5,22,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareDlg.cpp,CAmbientLightAwareDlg::OnQueryDragIcon(),2,2,2,1,0,0,0,0,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareDlg.cpp,CAmbientLightAwareDlg::InitAmbientLightAware(),33,30,18,4,2,0,1,13,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareDlg.cpp,"CAmbientLightAwareDlg::UpdateLux(float lux, int numSensors)",47,35,23,2,5,6,7,68,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareSensorEvents.cpp,"CAmbientLightAwareSensorEvents::CAmbientLightAwareSensorEvents(CAmbientLightAwareDlg* dlg, CAmbientLightAwareSensorManagerEvents* sensorManagerEvents)",4,4,4,0,0,1,0,5,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareSensorEvents.cpp,CAmbientLightAwareSensorEvents::~CAmbientLightAwareSensorEvents(),2,2,2,0,0,0,0,0,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareSensorEvents.cpp,"CAmbientLightAwareSensorEvents::QueryInterface(REFIID riid, void** ppObject)",23,20,12,3,3,0,0,0,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareSensorEvents.cpp,CAmbientLightAwareSensorEvents::AddRef(),3,3,3,1,0,0,0,0,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareSensorEvents.cpp,CAmbientLightAwareSensorEvents::Release(),9,7,5,2,2,0,0,0,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareSensorEvents.cpp,"CAmbientLightAwareSensorEvents::OnStateChanged(__RPC__in_opt ISensor *pSensor, SensorState state)",27,24,14,4,2,0,1,11,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareSensorEvents.cpp,"CAmbientLightAwareSensorEvents::OnDataUpdated(__RPC__in_opt ISensor *pSensor, __RPC__in_opt ISensorDataReport *pNewData)",13,11,7,2,2,0,0,0,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareSensorEvents.cpp,"CAmbientLightAwareSensorEvents::OnEvent(__RPC__in_opt ISensor* , __RPC__in REFGUID , __RPC__in_opt IPortableDeviceValues* )",3,2,2,1,0,0,1,2,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareSensorEvents.cpp,CAmbientLightAwareSensorEvents::OnLeave(__RPC__in REFSENSOR_ID sensorID),14,11,7,3,2,1,1,9,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareSensorEvents.cpp,CAmbientLightAwareSensorEvents::UpdateLux(),26,21,15,4,5,0,0,0,
F:\papter datasets\Ambient light sensor sample\C++\AmbientLightAwareSensorEvents.cpp,CAmbientLightAwareSensorEvents::GetSensorData(ISensor* pSensor),28,26,16,4,2,0,0,0,
