File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASBeautifier.cpp,ASBeautifier::ASBeautifier(),50,46,46,0,3,1,1,9
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASBeautifier.cpp,ASBeautifier::ASBeautifier(const ASBeautifier &other),161,138,138,0,14,0,9,54
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASBeautifier.cpp,ASBeautifier::~ASBeautifier(),15,15,15,0,0,0,0,0
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASEnhancer.cpp,ASEnhancer::ASEnhancer(),1,1,1,0,0,0,0,0
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASEnhancer.cpp,ASEnhancer::~ASEnhancer(),1,1,1,0,0,0,0,0
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASEnhancer.cpp,"ASEnhancer::init(int _fileType, int _indentLength, int _tabLength, bool _useTabs, bool _forceTab, bool _namespaceIndent, bool _caseIndent, bool _preprocBlockIndent, bool _preprocDefineIndent, bool _emptyLineFill, vector<const pair<const string, const string>* >* _indentableMacros)",38,31,31,0,3,0,4,14
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASEnhancer.cpp,"ASEnhancer::enhance(string &line, bool isInNamespace, bool isInPreprocessor, bool isInSQL)",58,44,24,14,8,0,6,36
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASEnhancer.cpp,ASEnhancer::convertForceTabIndentToSpaces(string &line) const,13,12,7,4,0,0,1,5
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASEnhancer.cpp,ASEnhancer::convertSpaceIndentToForceTab(string &line) const,8,6,6,0,1,1,1,9
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASEnhancer.cpp,"ASEnhancer::findCaseColon(string &line, size_t caseIndex) const",39,39,23,8,0,5,0,17
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASEnhancer.cpp,"ASEnhancer::indentLine(string &line, int indent) const",29,23,15,5,3,1,3,16
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASEnhancer.cpp,"ASEnhancer::isBeginDeclareSectionSQL(string &line, size_t index) const",38,38,25,14,0,0,0,0
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASEnhancer.cpp,"ASEnhancer::isEndDeclareSectionSQL(string &line, size_t index) const",38,38,25,14,0,0,0,0
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASFormatter.cpp,ASFormatter::ASFormatter(),59,55,55,0,2,1,2,13
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASFormatter.cpp,ASFormatter::~ASFormatter(),26,17,17,0,4,1,5,32
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASFormatter.cpp,ASFormatter::init(ASSourceIterator* si),148,144,134,0,4,2,0,12
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASFormatter.cpp,ASFormatter::buildLanguageVectors(),23,20,19,1,3,3,0,6
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASFormatter.cpp,ASFormatter::fixOptionVariableConflicts(),105,94,59,7,0,6,11,114
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,ASLocalizer::ASLocalizer(),28,19,14,1,2,1,7,69
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,ASLocalizer::~ASLocalizer(),2,2,2,0,0,0,0,0
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,ASLocalizer::setLanguageFromLCID(size_t lcid),24,22,14,5,1,2,1,10
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,ASLocalizer::getLanguageID() const,2,2,2,1,0,0,0,0
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,ASLocalizer::getTranslationClass() const,3,3,3,1,0,0,0,0
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,ASLocalizer::setLanguageFromName(const char* langID),18,14,10,2,2,1,2,15
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,ASLocalizer::settext(const char* textIn) const,4,4,4,1,0,0,0,0
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,ASLocalizer::setTranslationClass(),44,43,23,2,0,1,1,6
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,"Translation::addPair(const string &english, const wstring &translated)",3,3,3,0,0,0,0,0
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,Translation::convertToMultiByte(const wstring &wideStr) const,29,26,18,7,0,0,3,18
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,Translation::getTranslationVectorSize() const,2,2,2,1,0,0,0,0
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,"Translation::getWideTranslation(const string &stringIn, wstring &wideOut) const",12,11,7,4,0,0,1,2
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,Translation::translate(const string &stringIn) const,15,14,9,5,0,0,1,4
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,ChineseSimplified::ChineseSimplified(),27,27,27,0,0,2,0,8
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,ChineseTraditional::ChineseTraditional(),27,27,27,0,0,2,0,8
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,Dutch::Dutch(),27,27,27,0,0,2,0,8
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,English::English(),1,1,1,0,0,0,0,0
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,Finnish::Finnish(),27,27,27,0,0,2,0,8
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,French::French(),27,27,27,0,0,2,0,8
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,German::German(),27,27,27,0,0,2,0,8
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,Hindi::Hindi(),29,27,27,0,0,2,2,21
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,Italian::Italian(),27,27,27,0,0,2,0,8
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,Japanese::Japanese(),27,27,27,0,0,2,0,8
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,Korean::Korean(),27,27,27,0,0,2,0,8
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,Polish::Polish(),27,27,27,0,0,2,0,8
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,Portuguese::Portuguese(),27,27,27,0,0,2,0,8
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,Russian::Russian(),27,27,27,0,0,2,0,8
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,Spanish::Spanish(),27,27,27,0,0,2,0,8
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,Swedish::Swedish(),27,27,27,0,0,2,0,8
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASLocalizer.cpp,Ukrainian::Ukrainian(),27,27,27,0,0,2,0,8
F:\benchmark\AStyle_2.05.1_windows\AStyle\src\ASResource.cpp,"sortOnLength(const string* a, const string* b)",2,2,2,1,0,0,0,0
