File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\Portable Devices COM API Sample\C++\ContentEnumeration.cpp,"RecursiveEnumerate( _In_ PCWSTR objectID, _In_ IPortableDeviceContent* content)",39,28,16,4,4,6,7,102,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentEnumeration.cpp,EnumerateAllContent( _In_ IPortableDevice* device),18,13,9,2,2,0,3,20,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentEnumeration.cpp,"RecursiveEnumerateAndCopyToCollection( _In_ PCWSTR objectID, _In_ IPortableDeviceContent* content, _In_ IPortableDevicePropVariantCollection* objectIDs)",63,42,26,6,8,6,13,140,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentEnumeration.cpp,"CreateIPortableDevicePropVariantCollectionWithAllObjectIDs( _In_ IPortableDeviceContent* content, _COM_Outptr_ IPortableDevicePropVariantCollection** objectIDs)",16,13,8,2,2,0,1,10,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentEnumeration.cpp,"SendHintsCommand( _In_ IPortableDevice* device, _In_ REFGUID contentType, _COM_Outptr_ IPortableDeviceValues** results)",40,32,16,6,6,0,2,9,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentEnumeration.cpp,"ReadHintsResults( _In_ IPortableDeviceProperties* properties, _In_ IPortableDeviceValues* results)",47,36,19,7,5,0,6,30,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentEnumeration.cpp,ReadHintLocations( _In_ IPortableDevice* device),29,22,16,4,4,0,3,18,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentProperties.cpp,"DisplayErrorResultProperty( _In_ IPortableDeviceValues* properties, _In_ REFPROPERTYKEY key, _In_ PCWSTR keyName)",11,11,7,1,0,0,0,0,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentProperties.cpp,"DisplayStringProperty( _In_ IPortableDeviceValues* properties, _In_ REFPROPERTYKEY key, _In_ PCWSTR keyName)",26,20,12,2,1,0,5,27,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentProperties.cpp,"DisplayGuidProperty( _In_ IPortableDeviceValues* properties, _In_ REFPROPERTYKEY key, _In_ PCWSTR keyName)",11,11,7,1,0,0,0,0,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentProperties.cpp,ReadContentProperties( _In_ IPortableDevice* device),103,79,47,14,8,3,16,136,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentProperties.cpp,WriteContentProperties( _In_ IPortableDevice* device),122,98,53,17,5,3,19,134,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentProperties.cpp,GetObjectIdentifierFromPersistentUniqueIdentifier( _In_ IPortableDevice* device),94,66,41,8,4,0,24,148,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentProperties.cpp,ReadContentPropertiesBulk( _In_ IPortableDevice* device),175,129,70,24,17,0,29,253,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentProperties.cpp,WriteContentPropertiesBulk( IPortableDevice* device),212,162,87,32,19,0,31,273,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentProperties.cpp,ReadContentPropertiesBulkFilteringByFormat( _In_ IPortableDevice* device),170,129,69,24,15,0,26,230,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,"GetStringValue( _In_ IPortableDeviceProperties* properties, _In_ PCWSTR objectID, _In_ REFPROPERTYKEY key, _Out_ PWSTR* value)",55,39,22,6,7,3,9,115,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,"StreamCopy( _In_ IStream* destStream, _In_ IStream* sourceStream, DWORD transferSizeBytes, _Out_ DWORD* bytesWrittenOut)",67,47,30,8,11,2,9,103,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,TransferContentFromDevice( _In_ IPortableDevice* device),137,102,55,16,4,8,31,258,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,DeleteContentFromDevice( _In_ IPortableDevice* device),100,75,42,9,5,3,20,193,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,MoveContentAlreadyOnDevice( _In_ IPortableDevice* device),116,87,51,11,7,3,22,218,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,"GetRequiredPropertiesForAllContentTypes( _In_ IPortableDeviceValues* objectProperties, _In_ PCWSTR parentObjectID, _In_ PCWSTR filePath, _In_ IStream* fileStream)",70,57,35,12,5,0,8,64,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,GetRequiredPropertiesForImageContentTypes( _In_ IPortableDeviceValues* pObjectProperties),21,15,9,4,2,0,4,28,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,GetRequiredPropertiesForMusicContentTypes( _In_ IPortableDeviceValues* objectProperties),21,15,9,4,2,0,4,28,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,GetRequiredPropertiesForContactContentTypes( _In_ IPortableDeviceValues* objectProperties),23,15,9,4,2,0,6,46,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,"GetRequiredPropertiesForContentType( _In_ REFGUID contentType, _In_ PCWSTR parentObjectID, _In_ PCWSTR filePath, _In_ IStream* fileStream, _COM_Outptr_ IPortableDeviceValues** objectProperties)",55,46,22,6,3,0,6,53,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,"TransferContentToDevice( _In_ IPortableDevice* device, _In_ REFGUID contentType, _In_ PCWSTR fileTypeFilter, _In_ PCWSTR defaultFileExtension)",161,115,68,18,12,13,34,324,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,CreateContactPhotoResourceOnDevice( _In_ IPortableDevice* device),178,136,79,24,18,7,24,267,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,"GetRequiredPropertiesForPropertiesOnlyContact( _In_ PCWSTR parentObjectID, _COM_Outptr_ IPortableDeviceValues** objectProperties)",74,60,31,13,7,0,7,41,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,"GetRequiredPropertiesForFolder( _In_ PCWSTR parentObjectID, _In_ PCWSTR folderName, _COM_Outptr_ IPortableDeviceValues** objectProperties)",54,44,23,9,5,0,5,30,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,TransferContactToDevice( _In_ IPortableDevice* device),60,44,27,7,4,3,12,85,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,CreateFolderOnDevice( _In_ IPortableDevice* device),66,52,33,8,7,4,7,97,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,"GetPropertiesForUpdateData( _In_ PCWSTR filePath, _In_ IStream* fileStream, _COM_Outptr_ IPortableDeviceValues** objectProperties)",74,59,36,11,7,0,8,71,
F:\papter datasets\Portable Devices COM API Sample\C++\ContentTransfer.cpp,"UpdateContentOnDevice( _In_ IPortableDevice* device, _In_ REFGUID contentType, _In_ PCWSTR fileTypeFilter, _In_ PCWSTR defaultFileExtension)",180,142,83,21,17,11,21,287,
F:\papter datasets\Portable Devices COM API Sample\C++\DeviceCapabilities.cpp,DisplayFunctionalCategory( _In_ REFGUID functionalCategory),25,25,13,1,0,0,0,0,
F:\papter datasets\Portable Devices COM API Sample\C++\DeviceCapabilities.cpp,DisplayEvent( _In_ REFGUID event),29,29,15,1,0,0,0,0,
F:\papter datasets\Portable Devices COM API Sample\C++\DeviceCapabilities.cpp,DisplayContentType( _In_ REFGUID contentType),53,53,27,1,0,0,0,0,
F:\papter datasets\Portable Devices COM API Sample\C++\DeviceCapabilities.cpp,"DisplayEventOptions( _In_ IPortableDeviceCapabilities* capabilities, _In_ REFGUID event)",23,21,13,2,0,0,2,19,
F:\papter datasets\Portable Devices COM API Sample\C++\DeviceCapabilities.cpp,DisplayFunctionalObjectIDs( _In_ IPortableDevicePropVariantCollection* functionalObjectIDs),35,28,16,5,1,0,6,54,
F:\papter datasets\Portable Devices COM API Sample\C++\DeviceCapabilities.cpp,ListFunctionalObjects( _In_ IPortableDevice* device),85,62,38,10,7,0,16,97,
F:\papter datasets\Portable Devices COM API Sample\C++\DeviceCapabilities.cpp,DisplayContentTypes( _In_ IPortableDevicePropVariantCollection* contentTypes),42,33,19,6,3,0,6,53,
F:\papter datasets\Portable Devices COM API Sample\C++\DeviceCapabilities.cpp,ListFunctionalCategories( _In_ IPortableDevice* device),62,45,27,9,5,0,12,66,
