File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\UPnP control point sample\C++\deviceprop.cpp,"CDeviceProp::CDeviceProp(IUPnPDevice* pDevice, CWnd* pParent)",5,3,3,0,0,0,2,2,
F:\papter datasets\UPnP control point sample\C++\deviceprop.cpp,CDeviceProp::~CDeviceProp(),3,2,2,0,1,0,0,0,
F:\papter datasets\UPnP control point sample\C++\deviceprop.cpp,CDeviceProp::DoDataExchange(CDataExchange* pDX),17,15,15,0,0,0,2,2,
F:\papter datasets\UPnP control point sample\C++\deviceprop.cpp,CDeviceProp::OnOk(),4,3,3,0,0,0,1,8,
F:\papter datasets\UPnP control point sample\C++\deviceprop.cpp,CDeviceProp::OnInitDialog(),96,77,53,13,18,0,1,9,
F:\papter datasets\UPnP control point sample\C++\deviceprop.cpp,"CDeviceProp::PrintTextToEditBox(_In_ CEdit *pEditBox, _In_ BSTR bstrPrintText, _In_ HRESULT hrCheck)",10,9,7,1,1,0,0,0,
F:\papter datasets\UPnP control point sample\C++\genericucp.cpp,CGenericUCPApp::CGenericUCPApp(),1,1,1,0,0,0,0,0,
F:\papter datasets\UPnP control point sample\C++\genericucp.cpp,CGenericUCPApp::InitInstance(),31,17,14,5,11,1,3,28,
F:\papter datasets\UPnP control point sample\C++\genericucp.cpp,CGenericUCPApp::ExitInstance(),3,3,3,1,0,1,0,3,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,CAboutDlg::CAboutDlg(),3,1,1,0,0,0,2,2,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,CAboutDlg::DoDataExchange(CDataExchange* pDX),4,2,2,0,0,0,2,2,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,CGenericUCPDlg::OnAppAbout(),3,3,3,0,0,0,0,0,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,CGenericUCPDlg::CGenericUCPDlg(CWnd* pParent),45,35,18,3,6,4,4,38,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,CGenericUCPDlg::~CGenericUCPDlg(),13,12,10,1,0,0,1,1,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,CGenericUCPDlg::DoDataExchange(CDataExchange* pDX),27,25,25,0,0,0,2,2,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,CGenericUCPDlg::OnInitDialog(),51,36,26,3,8,7,7,97,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,CGenericUCPDlg::PreTranslateMessage(_In_ MSG *pMsg),22,18,10,6,0,0,4,31,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,"CGenericUCPDlg::OnSysCommand(_In_ UINT nID, _In_ LPARAM lParam)",10,10,6,1,0,0,0,0,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,CGenericUCPDlg::OnPaint(),22,17,13,1,3,1,2,12,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,CGenericUCPDlg::OnQueryDragIcon(),2,2,2,1,0,0,0,0,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,CGenericUCPDlg::ClearDeviceCombo(void),11,8,7,1,2,0,1,16,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,CGenericUCPDlg::ClearServiceCombo(void),12,9,8,1,2,1,1,20,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,CGenericUCPDlg::ClearAllDataStructures(_In_ BOOL fClearFindCombo),14,10,8,1,2,0,2,19,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,CGenericUCPDlg::OnFindByType(),8,4,4,0,1,0,3,23,
F:\papter datasets\UPnP control point sample\C++\GenericUCPDlg.cpp,CGenericUCPDlg::OnFindbyUDN(),7,4,4,0,0,0,3,23,
